,security_concern,obj_name,scanner_name,severity_category,severity_numeric
438,root-user,pod-035-19-using-insecure-capability-sys-chroot,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
440,secret-exposure,cm-001-sensitive-key-referenced-in-configmap,"['polaris', 'trivy']","['HIGH', 'MEDIUM']","[np.int64(4), np.int64(3)]"
442,secret-exposure,pod-025-sensitive-key-referenced-in-environment-variable,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
444,secret-exposure,rbac-002-1-secret-read-get,"['polaris', 'snyk']","['HIGH', 'MEDIUM']","[np.int64(4), np.int64(3)]"
446,secret-exposure,rbac-002-2-secret-read-list,"['polaris', 'snyk']","['HIGH', 'MEDIUM']","[np.int64(4), np.int64(3)]"
448,secret-exposure,rbac-002-3-secret-read-watch,"['polaris', 'snyk']","['HIGH', 'MEDIUM']","[np.int64(4), np.int64(3)]"
450,secret-exposure,rbac-002-4-secret-read-get,"['polaris', 'snyk']",['HIGH'],[np.int64(4)]
452,secret-exposure,rbac-002-5-secret-read-list,"['polaris', 'snyk']",['HIGH'],[np.int64(4)]
454,secret-exposure,rbac-002-6-secret-read-watch,"['polaris', 'snyk']",['HIGH'],[np.int64(4)]
456,security-profiles,pod-014-no-apparmor-profile,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
458,security-profiles,pod-023-no-seccomp-profile-defined,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
706,unknown,rbac-001-2-use-cluster-admin-role-cluster-wide-rb-cluster-admin,"['kubelinter', 'kubiscan']","['HIGH', 'CRITICAL']","[np.int64(4), np.int64(5)]"
712,unknown,rbac-003-1-all-resource-reader,"['kubelinter', 'kubiscan']","['MEDIUM', 'CRITICAL']","[np.int64(3), np.int64(5)]"
713,unknown,rbac-003-2-cluster-all-resource-reader,"['kubelinter', 'kubiscan']","['MEDIUM', 'CRITICAL']","[np.int64(3), np.int64(5)]"
