,security_concern,obj_name,scanner_name,severity_category,severity_numeric
156,other,pod-024-7-usage-of-bin-busybox-in-container,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
158,other,pod-024-8-usage-of-usr-bin-busybox-in-container,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
160,other,pod-030-no-securitycontext-defined,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
162,other,pod-031-1-allowed-privilege-escalation-by-default,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
164,other,pod-031-2-allowed-privilege-escalation-explicitly,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
166,other,pod-036-keep-default-capabilities,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
168,other,pod-042-1-volume-with-read-only-hostpath,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
170,other,pod-042-2-volume-with-writeable-hostpath,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
172,other,pod-042-3-volume-with-writeable-hostpath-by-default,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
174,other,pod-043-1-mount-azure-cloud-credentials,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
176,other,pod-044-1-mounting-docker-socket,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
178,other,pod-044-2-mounting-docker-directory,"['kube-score', 'kubescape', 'polaris', 'snyk', 'terrascan', 'trivy']","['PASS', 'CRITICAL', 'HIGH', 'MEDIUM', 'LOW']","[np.int64(0), np.int64(5), np.int64(4), np.int64(3), np.int64(2)]"
180,other,pod-045-containing-cve-2021-25741,"['kube-score', 'kubescape', 'polaris', 'snyk', 'trivy']","['PASS', 'CRITICAL', 'MEDIUM', 'HIGH', 'LOW']","[np.int64(0), np.int64(5), np.int64(3), np.int64(4), np.int64(2)]"
